title,video_id,frame_index,frame_file,abstain,scene_type,text_overlay,evidence,raw_response,upload_date_parsed,month,upload_date,Manual_evaluation
Activists unfurl giant Palestinian flag at top of Northern Ireland hill | AJ #shorts.webm,AJ0025,4,AJ0025_0004.jpg,FALSE,symbolic_or_religious_ritual,present,Activists unfurling a giant flag; Grassy hilltop setting,"{
  ""frame_id"": ""frame_0"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Activists unfurling a giant flag"",
    ""Grassy hilltop setting""
  ]
}",9/17/2024 8:28,9/1/2024,2024-09-17T08:28:59Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,4,AJ0062_0004.jpg,FALSE,other_or_unknown,present,Al Jazeera logo visible; child in 'TRUST' shirt,"{
  ""frame_id"": ""img_1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Al Jazeera logo visible"", ""child in 'TRUST' shirt""]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,5,AJ0016_0005.jpg,FALSE,symbolic_or_religious_ritual,present,Rows of chairs as memorial installation; Panoramic cityscape with distant skyscrapers,"{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Rows of chairs as memorial installation"",
    ""Panoramic cityscape with distant skyscrapers""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,5,AJ0060_0005.jpg,FALSE,other_or_unknown,present,BAFTA Film Awards ceremony setting; Individual holding award trophy,"{
  ""frame_id"": ""image_1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""BAFTA Film Awards ceremony setting"", ""Individual holding award trophy""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Biden hopes for a Gaza ceasefire by Monday | AJ #shorts.webm,AJ0067,5,AJ0067_0005.jpg,TRUE,other_or_unknown,present,person in suit holding ice cream cone; indoor setting with shelves,"{
  ""frame_id"": ""image_1"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""person in suit holding ice cream cone"", ""indoor setting with shelves""]
}",2/27/2024 7:14,2/1/2024,2024-02-27T07:14:33Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,6,AJ0016_0006.jpg,FALSE,symbolic_or_religious_ritual,present,uniformly arranged flags; memorial-like display in public space,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""uniformly arranged flags"",
    ""memorial-like display in public space""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,7,AJ0016_0007.jpg,FALSE,symbolic_or_religious_ritual,present,hundreds of chairs arranged in rows; central chair stands out,"{
  ""frame_id"": ""1"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""hundreds of chairs arranged in rows"", ""central chair stands out""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Biden hopes for a Gaza ceasefire by Monday | AJ #shorts.webm,AJ0067,7,AJ0067_0007.jpg,FALSE,other_or_unknown,present,person holding ice cream cone in suit; indoor room with windows,"{
  ""frame_id"": ""img_0"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""person holding ice cream cone in suit"", ""indoor room with windows""]
}",2/27/2024 7:14,2/1/2024,2024-02-27T07:14:33Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,8,AJ0016_0008.jpg,FALSE,symbolic_or_religious_ritual,present,Rows of Palestinian flags arranged in a grid; Memorial setup with a central chair,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [""Rows of Palestinian flags arranged in a grid"", ""Memorial setup with a central chair""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,8,AJ0060_0008.jpg,FALSE,other_or_unknown,present,BAFTA Film Awards ceremony; award winner holding trophy at podium,"{
  ""frame_id"": ""001"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""BAFTA Film Awards ceremony"", ""award winner holding trophy at podium""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,9,AJ0016_0009.jpg,FALSE,symbolic_or_religious_ritual,present,Rows of Palestinian flags arranged as a memorial; Sign with 'GAZA' and 'CRANE FOR CHILDREN',"{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Rows of Palestinian flags arranged as a memorial"",
    ""Sign with 'GAZA' and 'CRANE FOR CHILDREN'""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,9,AJ0060_0009.jpg,FALSE,other_or_unknown,present,Award recipient speaking at podium with BAFTA trophy; Red curtain backdrop and Al Jazeera logo,"{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": [""other_or_unknown""],
  ""text_overlay"": ""present"",
  ""evidence"": [""Award recipient speaking at podium with BAFTA trophy"", ""Red curtain backdrop and Al Jazeera logo""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Biden hopes for a Gaza ceasefire by Monday | AJ #shorts.webm,AJ0067,9,AJ0067_0009.jpg,TRUE,other_or_unknown,present,person in suit holding ice cream cone; text overlay discussing national security advisor,"{
  ""frame_id"": ""frame_1"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""person in suit holding ice cream cone"", ""text overlay discussing national security advisor""]
}",2/27/2024 7:14,2/1/2024,2024-02-27T07:14:33Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,10,AJ0016_0010.jpg,FALSE,symbolic_or_religious_ritual,present,small Palestinian flags arranged as a memorial display; sign reading 'Gaza Mass Grave for Children',"{
  ""frame_id"": ""lyon_gaza_memorial_20240914"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""small Palestinian flags arranged as a memorial display"",
    ""sign reading 'Gaza Mass Grave for Children'""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,12,AJ0016_0012.jpg,FALSE,symbolic_or_religious_ritual,present,small Palestinian flags arranged in a field; sign reading 'Gaza Cimetière des Enfants MASS GRAVE FOR CHILDREN',"{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""small Palestinian flags arranged in a field"", ""sign reading 'Gaza Cimetière des Enfants MASS GRAVE FOR CHILDREN'""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Al Jazeera correspondent finds brother’s body in Gaza | Al Jazeera Newsfeed.webm,AJ0030,12,AJ0030_0012.jpg,FALSE,symbolic_or_religious_ritual,present,People in prayer posture; Damaged buildings and debris,"{
  ""frame_id"": ""frame_001"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""People in prayer posture"",
    ""Damaged buildings and debris""
  ]
}",4/1/2024 15:30,4/1/2024,2024-04-01T15:30:39Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,12,AJ0062_0012.jpg,FALSE,other_or_unknown,present,child holding white object with red mark; Al Jazeera watermark visible,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""child holding white object with red mark"", ""Al Jazeera watermark visible""]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,13,AJ0016_0013.jpg,FALSE,symbolic_or_religious_ritual,present,rows of Palestinian flags; sign reading 'MASS GRAVE FOR CHILDREN',"{
  ""frame_id"": ""img_1"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""rows of Palestinian flags"", ""sign reading 'MASS GRAVE FOR CHILDREN'""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Arrests over secret tunnel at New York synagogue.webm,AJ0054,13,AJ0054_0013.jpg,FALSE,symbolic_or_religious_ritual,present,coffin visible; people in religious attire (white robes),"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""coffin visible"",
    ""people in religious attire (white robes)""
  ]
}",1/10/2024 11:15,1/1/2024,2024-01-10T11:15:32Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,13,AJ0060_0013.jpg,FALSE,other_or_unknown,present,Man in formal tuxedo at awards podium; BAFTA award and Al Jazeera logo visible,"{
  ""frame_id"": ""BAFTA_2024"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Man in formal tuxedo at awards podium"",
    ""BAFTA award and Al Jazeera logo visible""
  ]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,13,AJ0062_0013.jpg,TRUE,other_or_unknown,present,child holding stuffed toy; Al Jazeera watermark,"{
  ""frame_id"": ""image_01"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""child holding stuffed toy"", ""Al Jazeera watermark""]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,14,AJ0060_0014.jpg,FALSE,other_or_unknown,present,Tuxedoed person at BAFTA awards podium; Red curtains and award statue in background,"{
  ""frame_id"": ""frame_0"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Tuxedoed person at BAFTA awards podium"", ""Red curtains and award statue in background""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,15,AJ0016_0015.jpg,FALSE,symbolic_or_religious_ritual,present,people placing small Palestinian flags; ceremonial flag display in outdoor setting,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""people placing small Palestinian flags"",
    ""ceremonial flag display in outdoor setting""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,15,AJ0060_0015.jpg,FALSE,other_or_unknown,present,Formal tuxedo attire at podium with microphones; BAFTA award ceremony backdrop with red curtains,"{
  ""frame_id"": ""1"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Formal tuxedo attire at podium with microphones"", ""BAFTA award ceremony backdrop with red curtains""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,16,AJ0016_0016.jpg,FALSE,symbolic_or_religious_ritual,present,People placing small Palestinian flags in an open area; Large Palestinian flag visible as a symbolic element,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""People placing small Palestinian flags in an open area"",
    ""Large Palestinian flag visible as a symbolic element""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Al Jazeera correspondent finds brother’s body in Gaza | Al Jazeera Newsfeed.webm,AJ0030,16,AJ0030_0016.jpg,FALSE,symbolic_or_religious_ritual,present,damaged buildings and smoke; group of people standing in mourning,"{
  ""frame_id"": ""frame_1"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""damaged buildings and smoke"", ""group of people standing in mourning""]
}",4/1/2024 15:30,4/1/2024,2024-04-01T15:30:39Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,16,AJ0060_0016.jpg,FALSE,other_or_unknown,present,person in formal attire at award ceremony podium; BAFTA Film Awards 2024 branding,"{
  ""frame_id"": ""BAFTA_2024_frame_001"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""person in formal attire at award ceremony podium"", ""BAFTA Film Awards 2024 branding""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,17,AJ0016_0017.jpg,FALSE,symbolic_or_religious_ritual,present,many small Palestinian flags arranged on ground; people placing flags,"{
  ""frame_id"": ""image1"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""many small Palestinian flags arranged on ground"",
    ""people placing flags""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
Al Jazeera correspondent finds brother’s body in Gaza | Al Jazeera Newsfeed.webm,AJ0030,17,AJ0030_0017.jpg,FALSE,symbolic_or_religious_ritual,present,covered body on stretcher; people standing in mourning posture,"{
  ""frame_id"": ""img_1"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""covered body on stretcher"",
    ""people standing in mourning posture""
  ]
}",4/1/2024 15:30,4/1/2024,2024-04-01T15:30:39Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,17,AJ0060_0017.jpg,FALSE,other_or_unknown,present,Awards ceremony setting; Person in formal attire holding trophy,"{
  ""frame_id"": ""BAFTA_2024_frame"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Awards ceremony setting"", ""Person in formal attire holding trophy""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,18,AJ0016_0018.jpg,FALSE,symbolic_or_religious_ritual,present,Small Palestinian flags arranged ceremonially; Memorial-like setup with symbolic flag display,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": [
    ""symbolic_or_religious_ritual""
  ],
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Small Palestinian flags arranged ceremonially"",
    ""Memorial-like setup with symbolic flag display""
  ]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,18,AJ0060_0018.jpg,FALSE,other_or_unknown,present,person in formal tuxedo at podium; BAFTA Film Awards 2024 event setting,"{
  ""frame_id"": ""string"",
  ""abstain"": false,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""person in formal tuxedo at podium"", ""BAFTA Film Awards 2024 event setting""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
"15,000 Palestinian flags planted in memorial to Gaza’s children | AJ #shorts.webm",AJ0016,19,AJ0016_0019.jpg,FALSE,symbolic_or_religious_ritual,present,People arranging Palestinian flags; Large Palestinian flag visible,"{
  ""frame_id"": ""img_1"",
  ""abstain"": false,
  ""scene_type"": ""symbolic_or_religious_ritual"",
  ""text_overlay"": ""present"",
  ""evidence"": [""People arranging Palestinian flags"", ""Large Palestinian flag visible""]
}",9/19/2024 11:43,9/1/2024,2024-09-19T11:43:17Z,TRUE
BAFTA winner uses speech to addresses war in Gaza  | #AJshorts.webm,AJ0060,19,AJ0060_0019.jpg,TRUE,other_or_unknown,present,Tuxedo-clad presenter at podium; BAFTA Film Awards branding,"{
  ""frame_id"": ""frame_1"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [""Tuxedo-clad presenter at podium"", ""BAFTA Film Awards branding""]
}",2/19/2024 12:48,2/1/2024,2024-02-19T12:48:58Z,TRUE
Baby girl rescued from mother’s womb dies | #AJshorts.webm,AJ0062,19,AJ0062_0019.jpg,TRUE,other_or_unknown,present,Adult in traditional attire holding newborn; Text overlay states 'from the management of the Emirati hospital',"{
  ""frame_id"": ""image_0"",
  ""abstain"": true,
  ""scene_type"": ""other_or_unknown"",
  ""text_overlay"": ""present"",
  ""evidence"": [
    ""Adult in traditional attire holding newborn"",
    ""Text overlay states 'from the management of the Emirati hospital'""
  ]
}",4/26/2024 20:23,4/1/2024,2024-04-26T20:23:41Z,TRUE
