video_id,title,month,view_count,source_file,description,upload_date_raw
yD1fDRluzD0,Israeli attacks continue in Gaza,2023-10,502821,TRT,"Israeli air strikes continue to hit Gaza following Hamas's surprise attack on Israel. Clashes between the group and Israeli forces have left at least 313 Palestinians and 300 Israelis dead.

The Israeli military has warned Gaza residents to evacuate from certain locations. 
#gaza #israel #palestine 

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-08T11:26:08Z
HjANOP6_UlI,Hamas fighters battle Israeli forces in southern Israel | AJ #shorts,2023-10,11724741,AJ,"Video shows fierce gun battle between Israeli soldiers and Hamas fighters along a highway near Ashkelon in southern Israel, after Palestinian fighters broke out of the besieged Gaza Strip.  

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-08T13:22:09Z
uttFcxWSpKg,Israeli rocket hits the building of the National Bank in Gaza,2023-10,1223053,TRT,"Gaza’s National Bank building explodes after Israeli air strike.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-08T20:24:21Z
8r_7_Ir0-mE,Pro-Palestine Americans protest in front of the White House,2023-10,2908044,TRT,"Dozens of protesters gathered before the White House to support Palestinians and denounce the US foreign policy they describe as pro-Israeli.

Following the Hamas' unprecedented military operation, the US administration denounced ""unprovoked attacks"". However, many activists say the Israeli government has been building increasingly illegal settlements in the past few months in the occupied Palestinian territories.


Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-08T20:30:00Z
sse2jCkB3T8,Hamas’s Al-Qassam Brigades release new footage on ‘Al Aqsa Flood’ operation,2023-10,1256266,TRT,"The Al-Qassam Brigades, the armed wing of the Palestinian resistance group Hamas, released new videos showing a number of its fighters inside Israeli military sites during the ‘Al Aqsa Flood’ operation.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-09T08:33:36Z
SSnZGL8Kyb0,Israeli airstrikes pound Gaza Strip for second night | AJ #shorts,2023-10,702977,AJ,"Israel has pounded the besieged Gaza Strip for a second straight night after formally declaring war against Hamas, in response to the Palestinian group’s unprecedented attack on Israel.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-09T08:44:32Z
TZSj7plMy3A,Gaza’s Garbi Mosque destroyed in Israeli strike,2023-10,503091,TRT,"Israeli air strikes on Palestine’s besieged Gaza on October 9 destroyed al Garbi Mosque, located in the Al-Shati refugee camp.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-09T09:08:46Z
Ku45fOnfsJw,Explosion in Gaza stops BBC journalist live on air. #Israel #Gaza #BBCNews,2023-10,160571,BBC,,2023-10-09T09:15:02Z
rRd4xAyvWZ0,What is happening between Israel and Gaza? | AJ #shorts,2023-10,82844,AJ,"Hamas and Israel's fighting has provoked some key questions about what happened, who's involved and who they are? Al Jazeera's @rawanalahmadd explains",2023-10-09T09:51:56Z
qJeYhteTIJM,Israeli attack caught on TRT World’s live Gaza broadcast,2023-10,341004,TRT,"TRT World’s live broadcast captured the moment an Israeli F-16 warplane targeted the northwest of Palestine’s besieged Gaza. 

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-09T09:52:08Z
apiFdpIP8iE,Israeli air attacks hit during live report on Gaza destruction | AJ #shorts,2023-10,616573,AJ,"Al Jazeera’s Youmna ElSayed was reporting on the destruction caused by Israeli strikes on the Al Yarmouk neighbourhood of Gaza when more air attacks hit close by.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

#Palestine #Gaza #Israel #IsraelHamasWar #GazaWar #GazaUnderAttack #Hamas #AlAqsaFlood  #طوفان_الأقصى #غزة_تحت_القصف",2023-10-09T10:57:57Z
MfwVULyalvg,UK PM Rishi Sunak promises support to Israel. #Israel #Hamas #Gaza #BBCNews,2023-10,85667,BBC,,2023-10-09T12:25:36Z
bUs-JSwWz3M,Palestinian woman weeps after more than more than 20 family members killed I AJ #shorts,2023-10,163473,AJ,"Palestinian woman weeps after more than more than 20 family members killed
#israel #gazaunderattack #aljazeeraenglish",2023-10-09T12:38:22Z
ReZEJPwrM1k,Israeli defence minister orders ‘complete siege’ on Gaza | AJ #shorts,2023-10,132106,AJ,"“We are fighting against human animals”. This is how Israeli Defence Minister Yoav Gallant announced what he called a “complete siege” on Gaza, following a surprise attack by Hamas on Israel.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-09T12:42:24Z
HQSYkr0g8so,Israel attacks crowded Jabalia refugee camp in Gaza | AJ #shorts,2023-10,192239,AJ,"Dozens of people have been reported killed and injured in an Israeli attack on the crowded Jabalia refugee camp in Gaza. Al Jazeera’s correspondent Youmna ElSayed has been at the scene.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-09T13:42:43Z
#NAME?,Israel to impose ‘total’ blockade of Gaza in battle against ‘human animals’,2023-10,192403,TRT,"“We are fighting against human animals.”

Israel’s Defence Minister Yoav Gallant announced a “complete siege” of Palestine’s already blockaded Gaza, saying Israeli authorities would cut electricity and prevent food and fuel from entering the territory.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-09T14:14:23Z
eHt9ofszOIE,Israel Defense Force compares Hamas attacks to 9/11 #Israel #Hamas #Gaza #BBCNews,2023-10,68041,BBC,,2023-10-09T14:37:48Z
h5QreMc2Ero,Israelis take cover at Tel Aviv train station as sirens wail,2023-10,529958,TRT,"Israeli travellers sought cover as sirens warning of incoming rockets blared at a train station in Israel’s Tel Aviv on October 9 amid ongoing fighting between Israeli forces and Palestinian resistance group Hamas.

Visit trtworld.com for more.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-09T15:13:05Z
ymfiLWayfJk,Israel’s Iron Dome: a glimpse of what's considered one of the most advanced defence systems #BBCNews,2023-10,474586,BBC,,2023-10-09T15:53:10Z
_23o6wZxjkk,Palestinian solidarity protests held in multiple countries,2023-10,1206550,TRT,"Solidarity protests with Palestinians erupt in several countries including Yemen, the UK, Australia, Canada and many others following the escalation between Israel and Palestine.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-10T10:14:56Z
Ep40b72gfJk,Funeral procession of Palestinian journalists killed in Israeli air strike,2023-10,4456696,TRT,"A funeral was held for Palestinian journalists Saad Taweel and Mohammed Abu Reziq, who were killed in an Israeli air strike on Gaza while covering the ongoing conflict. It has been reported that several other journalists were injured in the same area during the latest attack.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-10T11:46:26Z
2xCl2YhmiSU,Man sits over his destroyed house after Israeli strike | AJ #shorts,2023-10,830969,AJ,Man sits over his destroyed house after Israeli strike | AJ #shorts,2023-10-10T12:08:54Z
pYPxbCSDUH0,A glimpse at the aftermath of air strikes in Jabalia #Gaza #Shorts #BBCNews,2023-10,390020,BBC,,2023-10-10T13:55:10Z
LpEko6hiEA0,Israel strikesPalestine tower during live Aljazeera report |AJ #short,2023-10,137352,AJ,Watch the moment Israeli fighter jets strike Palestine Tower behind Al Jazeera’s Youmna El Sayed as she reports live from Gaza.,2023-10-10T15:19:51Z
SWolEodmzTw,Drone footage shows entire neighbourhoods destroyed in Gaza  | Al Jazeera Newsfeed,2023-10,250581,AJ,"Drone footage shows the extent of damage to Gaza City after four days of Israeli bombardment. The UN says more than 120,000 people have been internally displaced. 

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-10T18:00:25Z
WcvKgdBBxGg,Israel confirms plans for Gaza ground invasion,2023-10,458356,AJ,"Israel’s defence minister has told Israeli soldiers that they will invade Gaza. It’s the starkest confirmation yet of a ground invasion planned in response to Hamas’s attack.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-11T08:32:37Z
QlhuqfuKeDU,How did Israel’s intelligence fail to prevent Hamas attack? | AJ #shorts,2023-10,122348,AJ,,2023-10-11T08:52:29Z
djPn-rZf3dM,Israeli air strikes pound Islamic University of Gaza,2023-10,1014573,TRT,"Israel pounded the Islamic University of Gaza with air strikes on October 11 as intense fighting between Palestinian group Hamas and Israel reached its fifth day, with Israel shelling civilian infrastructures in the besieged enclave, including schools, hospitals, mosques and homes. 
#israelpalestine #university #gaza 

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-11T11:02:49Z
qrQEpmbHzog,Man replaces Israeli flag with Palestinian flag at UK town hall,2023-10,4327061,TRT,"A man took down an Israeli flag from the top of Sheffield’s town and replaced it with the Palestinian flag during a pro-Palestine rally on October 10 as supporters cheered “Take it down.”

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-11T11:39:50Z
D_8ih4ltebc,Palestinians run for cover after Israeli strikes in Gaza I AJ #shorts  #israel #israelhamaswar #gaza,2023-10,1664199,AJ,"Palestinian women and children are seen running for cover after Israeli air strikes hit Sheikh Radwan neighbourhood in Gaza City.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  http://www.aljazeera.com/
Download AJE Mobile App : https://aje.io/AJEMobile
@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-11T12:27:54Z
Mw6rnMssQ7w,Gaza is one of the most densely populated areas on Earth. #Israel #Gaza #BBCNews,2023-10,198400,BBC,,2023-10-11T16:18:59Z
142pF-Pq-Uw,Woman attacked for having Palestinian flag on her car in Canada,2023-10,732575,TRT,"“You should be raped and dragged through the streets in front of your kids.”

A Tunisian woman named Imane Najar was attacked by a woman in Montreal, Canada, on October 10 for having a Palestinian flag on her car. According to Najar, the woman, Lauren Wise, “rammed her car"" into Najar's vehicle twice before fleeing. Najar filed a complaint with the police “to report and denounce the hate crime, threats, vandalism and the hit-and-run”.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-11T17:00:05Z
7wAz289RFUc,Journalist bursts into tears while reporting injured Palestinian children,2023-10,1842891,TRT,"An Anadolu Agency reporter broke down in tears as Palestinian children and civilians injured by Israeli air strikes were carried to the al Shifa Hospital in Gaza.
#palestinians #gaza #journalist #warcrimes 

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-11T17:29:41Z
WLEbStHgVXA,Palestinian man loses eight family members in Israeli air strike,2023-10,1169671,TRT,"Ala al Kafarneh is the only survivor in his family after an Israeli air strike killed eight family members — his pregnant wife, brother, father, uncle, two cousins and two extended family members — amid Israel’s continuing bombardment of besieged Gaza.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-11T17:57:29Z
#NAME?,What makes Israel an apartheid state? @ajplus  #aj+ #shorts #aljazeeraenglish,2023-10,55318,AJ,"What makes Israel an apartheid state?

Subscribe to AJ+ for more videos: https://ajplus.co/subscribe
#Israel #Palestine #AJPlus",2023-10-12T06:47:20Z
wQx8ftGFNrw,Gaza plunged into darkness after power plant runs out of fuel | AJ #shorts,2023-10,66829,AJ,"Residents of Gaza have spent their first night without electricity after the only power plant in the besieged enclave ran out of fuel. Palestinians there say they are facing a humanitarian catastrophe following Israel’s total siege of the territory. 

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-12T06:59:35Z
#NAME?,Mother’s final kiss with child killed in Israeli strike in Gaza | AJ #shorts,2023-10,922348,AJ,"A Palestinian mother in Gaza gave a last kiss to her dead child who was killed in an Israeli air strike in Gaza.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-12T10:08:20Z
PkZjq0jFLxI,How does von der Leyen’s stance on Ukrainian and Palestinian civillians differ?,2023-10,284838,TRT,"EU President Ursula von der Leyen defined Russia’s “targeted attacks” on Ukrainian civilians as “pure terror” during her speech in 2022.

A year later, she has yet to release a statement on Israel’s recent targeted attacks and heavy bombardment on Gaza, where at least 1,200 Palestinians have been killed, saying, instead, that “The EU stands with Israel in this tragedy”.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-12T11:51:12Z
Gnh8EDAXcoE,"‘Just as ISIS was crushed, so too will Hamas be crushed’, says Israel PM. #Shorts #Israel #BBCNews",2023-10,80736,BBC,,2023-10-12T13:24:31Z
jRzy-mW6tZ0,Gaza run out of fuel | AJ #shorts #alaqsaflood #israelhamaswar #israel,2023-10,112422,AJ,"There’s a total power cut in Gaza after Israel stopped all fuel, as well as food and other essential supplies, from getting into the besieged enclave. Al Jazeera's @rawanalahmadd explains.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-12T13:30:49Z
uT5Xf1sL6Kc,Rights group accuses Israel of using banned weapon in Gaza | AJ #shorts,2023-10,239489,AJ,"Rights group Euro-Med Monitor says it has evidence that Israel has been firing banned white phosphorous in Gaza, after videos emerged of it being used in the city.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-12T16:16:53Z
l1zE8T2ELAg,Palestinian man in Gaza calls for help,2023-10,4574940,TRT,"Palestinian man calls on the world to help as he stands in the midst of the bombed-out neighbourhood of Al Karama, north of Gaza City. He condemns Israel for using banned white phosphorus on civilians.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-12T20:01:13Z
bMnS_jMAfus,UN rejects Israel’s 24-hour Gaza evacuation order | AJ #shorts,2023-10,113787,AJ,"The Israeli army has given 1.1 million residents in northern Gaza 24 hours to move to the south of the besieged and crowded territory. The UN said that would be ‘impossible’, warning of devastating humanitarian consequences.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-13T06:51:45Z
k6X7wPVr8UA,French police fire tear gas on pro-Palestine rally in Paris | AJ #shorts,2023-10,128186,AJ,"French police used tear gas and water cannons on demonstrators rallying in Paris in support of the Palestinian people, as Israel continues its war in Gaza. 

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-13T10:02:18Z
An8vRIS-qZg,Palestinian journalist reports from Gaza ruins,2023-10,316268,TRT,"""It's the most sadness that Gaza ever had.""

Palestinian journalist Motaz Azaiza shows the massive destruction in what he describes as once one of the most beautiful areas of Gaza City.

Subscribe: http://trt.world/subscribe
Livestream: http://trt.world/ytlive
Facebook: http://trt.world/facebook
Twitter: http://trt.world/twitter
Instagram: http://trt.world/instagram
Threads: http://threads.net/@trtworld
TikTok: http://tiktok.com/@trtworld
Visit our website: http://trt.world",2023-10-13T11:00:24Z
IRziOE-GHMQ,Solidarity with Palestinian people in Qatar | AJ #shorts #alaqsaflood #gaza #israelhamaswar,2023-10,1019770,AJ,"Demands for condemnations of violence against civilians seem to be reserved only for Palestinians – why is this the case?
#israel #alaqsaflood #gaza",2023-10-13T11:28:04Z
AGSDsh85PHU,Jordanian security forces fire tear gas at pro-Palestinian protesters | AJ #shorts,2023-10,390523,AJ,"Jordanian security forces have fired tear gas at pro-Palestinian protesters heading towards the border with the occupied West Bank.

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  https://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

@AljazeeraEnglish
#Aljazeeraenglish
#News",2023-10-13T12:28:20Z
